0.000000;0.000000
0.011111;0.000001
0.022222;0.000008
0.033333;0.000040
0.044444;0.000123
0.055556;0.000291
0.066667;0.000587
0.077778;0.001057
0.088889;0.001753
0.100000;0.002728
0.111111;0.004040
0.122222;0.005744
0.133333;0.007900
0.144444;0.010564
0.155556;0.013790
0.166667;0.017633
0.177778;0.022142
0.188889;0.027364
0.200000;0.033344
0.211111;0.040120
0.222222;0.047726
0.233333;0.056192
0.244444;0.065543
0.255556;0.075798
0.266667;0.086969
0.277778;0.099066
0.288889;0.112089
0.300000;0.126036
0.311111;0.140897
0.322222;0.156657
0.333333;0.173297
0.344444;0.190789
0.355556;0.209104
0.366667;0.228204
0.377778;0.248050
0.388889;0.268596
0.400000;0.289792
0.411111;0.311585
0.422222;0.333919
0.433333;0.356732
0.444444;0.379961
0.455556;0.403542
0.466667;0.427407
0.477778;0.451485
0.488889;0.475706
0.500000;0.500000
0.511111;0.524294
0.522222;0.548515
0.533333;0.572593
0.544444;0.596458
0.555556;0.620039
0.566667;0.643268
0.577778;0.666081
0.588889;0.688415
0.600000;0.710208
0.611111;0.731404
0.622222;0.751950
0.633333;0.771796
0.644444;0.790896
0.655556;0.809211
0.666667;0.826703
0.677778;0.843343
0.688889;0.859103
0.700000;0.873964
0.711111;0.887911
0.722222;0.900934
0.733333;0.913031
0.744444;0.924202
0.755556;0.934457
0.766667;0.943808
0.777778;0.952274
0.788889;0.959880
0.800000;0.966656
0.811111;0.972636
0.822222;0.977858
0.833333;0.982367
0.844444;0.986210
0.855556;0.989436
0.866667;0.992100
0.877778;0.994256
0.888889;0.995960
0.900000;0.997272
0.911111;0.998247
0.922222;0.998943
0.933333;0.999413
0.944444;0.999709
0.955556;0.999877
0.966667;0.999960
0.977778;0.999992
0.988889;0.999999
1.000000;1.000000
