0.000000;0.000000
0.011111;0.000013
0.022222;0.000106
0.033333;0.000352
0.044444;0.000820
0.055556;0.001575
0.066667;0.002675
0.077778;0.004173
0.088889;0.006120
0.100000;0.008560
0.111111;0.011533
0.122222;0.015074
0.133333;0.019216
0.144444;0.023985
0.155556;0.029404
0.166667;0.035494
0.177778;0.042269
0.188889;0.049742
0.200000;0.057920
0.211111;0.066809
0.222222;0.076411
0.233333;0.086724
0.244444;0.097743
0.255556;0.109462
0.266667;0.121869
0.277778;0.134951
0.288889;0.148695
0.300000;0.163080
0.311111;0.178087
0.322222;0.193694
0.333333;0.209877
0.344444;0.226607
0.355556;0.243858
0.366667;0.261599
0.377778;0.279799
0.388889;0.298424
0.400000;0.317440
0.411111;0.336812
0.422222;0.356502
0.433333;0.376474
0.444444;0.396687
0.455556;0.417105
0.466667;0.437685
0.477778;0.458388
0.488889;0.479174
0.500000;0.500000
0.511111;0.520826
0.522222;0.541612
0.533333;0.562315
0.544444;0.582895
0.555556;0.603313
0.566667;0.623526
0.577778;0.643498
0.588889;0.663188
0.600000;0.682560
0.611111;0.701576
0.622222;0.720201
0.633333;0.738401
0.644444;0.756142
0.655556;0.773393
0.666667;0.790123
0.677778;0.806306
0.688889;0.821913
0.700000;0.836920
0.711111;0.851305
0.722222;0.865049
0.733333;0.878131
0.744444;0.890538
0.755556;0.902257
0.766667;0.913276
0.777778;0.923589
0.788889;0.933191
0.800000;0.942080
0.811111;0.950258
0.822222;0.957731
0.833333;0.964506
0.844444;0.970596
0.855556;0.976015
0.866667;0.980784
0.877778;0.984926
0.888889;0.988467
0.900000;0.991440
0.911111;0.993880
0.922222;0.995827
0.933333;0.997325
0.944444;0.998425
0.955556;0.999180
0.966667;0.999648
0.977778;0.999894
0.988889;0.999987
1.000000;1.000000
